Reaction abbreviation,Reaction formula,Pathway
HEX1,atp[c] + glc_D[c]  => adp[c] + h[c] + g6p[c],Glycolysis
PGI,g6p[c]  <=> f6p[c] ,Glycolysis
PFK,atp[c] + f6p[c]  => adp[c] + h[c] + fdp[c],Glycolysis
FBA,fdp[c]  <=> dhap[c] + g3p[c],Glycolysis
TPI,dhap[c]  <=> g3p[c] ,Glycolysis
G3P2PEP,g3p[c] + nad[c] + pi[c] + adp[c] <=> pep[c] + nadh[c] + h[c] + atp[c] + h2o[c],Glycolysis
PYK,adp[c] + pep[c] + h[c] => atp[c] + pyr[c] ,Glycolysis
LDH_L,nad[c] + lac_L[c]  <=>  pyr[c] + nadh[c] + h[c],Glycolysis
PPP1,g6p[c] + h2o[c] + 2 nadp[c] => co2[c] + 2 h[c] + 2 nadph[c] + r5p[c],PPP
PPP2,3 r5p[c] <=> 2 f6p[c] + g3p[c],PPP
PYRt2m,pyr[c]  <=> pyr[m] ,TCA
PYR2CITm,pyr[m] + oaa[m] + nad[m] + h2o[m] => cit[m] + co2[m] + nadh[m] + h[m] ,TCA
PCm,pyr[m] + atp[m] + hco3[m]  => adp[m] + pi[m] + oaa[m] + h[m],TCA
ACONTm,cit[m]  <=> icit[m] ,TCA
ICIT2SUCCOAm,2 nad[m] + icit[m] + coa[m] => succoa[m] + 2 co2[m] + 2 nadh[m] ,TCA
SUCOAS1m,coa[m] + gtp[m] + succ[m]  <=> pi[m] + gdp[m] + succoa[m] ,TCA
NDPK1m,atp[m] + gdp[m]  <=> adp[m] + gtp[m],TCA
SUCD1m,fad[m] + succ[m]  => fadh2[m] + fum[m] ,TCA
FUMm,h2o[m] + fum[m]  <=> mal_L[m] ,TCA
MDHm,nad[m] + mal_L[m]  <=> h[m] + nadh[m] + oaa[m] ,TCA
MDH,nad[c] + mal_L[c]  <=> h[c] + nadh[c] + oaa[c] ,Glyceroneogenesis
ME2,nadp[c] + mal_L[c]  => pyr[c] + nadph[c] + co2[c] ,Glyceroneogenesis
G3PD1,nad[c] + glyc3p[c]  <=> h[c] + nadh[c] + dhap[c] ,Glyceroneogenesis
ACITL,atp[c] + coa[c] + cit[c]  => adp[c] + pi[c] + accoa[c] + oaa[c] ,FA Synthesis
ACCOAC,atp[c] + hco3[c] + accoa[c]  => adp[c] + pi[c] + malcoa[c] + h[c],FA Synthesis
KAS8,20 h[c] + 14 nadph[c] + accoa[c] + 7 malcoa[c]  => 6 h2o[c] + 14 nadp[c] + 7 co2[c] + 8 coa[c] + hdca[c] ,FA Synthesis
TGS,glyc3p[c] + 3 hdca[c] + 3 atp[c] + h2o[c] + nadh[c] + h[c] => tag_hs[c] + pi[c] + 3 amp[c] + 3 ppi[c] + nad[c] + h[c],TAG Synthesis
LPS123,tag_hs[c] + 3 h2o[c] => glyc[c] + 3 hdca[c]  + 3 h[c],Lipolysis
ADK1,atp[c] + amp[c] <=> 2 adp[c],Nucleotide Interconversion
HCO3E,co2[c] + h2o[c] <=> h[c] + hco3[c],HCO3 equilibration reaction
PPA,h2o[c] + ppi[c] => h[c] + 2 pi[c],Diphosphatase
NADH_OXm,5 adp[m] + 7 h[m] + 2 nadh[m] + o2[m] + 5 pi[m] => 5 atp[m] + 7 h2o[m] + 2 nad[m],Oxidation Mitochondrial
FADH_Oxm,3 adp[m] + 2 fadh2[m] + 3 h[m] + o2[m] + 3 pi[m] => 3 atp[m] + 5 h2o[m] + 2 fad[m],Oxidation Mitochondrial
Pitm,pi[c] <=> pi[m],Mitochondrial Exchange
ADPEXm,adp[c] + atp[m] <=> adp[m] + atp[c],Mitochondrial Exchange
O2tm,o2[c] <=> o2[m],Mitochondrial Exchange
CO2tm,co2[c]  <=> co2[m] ,Mitochondrial Exchange
Htm,h[c] <=> h[m],Mitochondrial Exchange
HCO3m,hco3[c] <=> hco3[m],Mitochondrial Exchange
H2Otm,h2o[c] <=> h2o[m],Mitochondrial Exchange
OAAtm,oaa[c] <=> oaa[m],Mitochondrial Exchange
CITtm,cit[c] <=> cit[m] ,Mitochondrial Exchange
MALtm,mal_L[c]  <=>  mal_L[m] ,Mitochondrial Exchange
DM_atp_c_,h2o[c] + atp[c]  => adp[c] + h[c] + pi[c],ATP Demand
EX_co2(e),co2[c]  <=> ,Exchange Reactions
EX_h2o(e),h2o[c] <=>,Exchange Reactions
EX_o2(e),o2[c] <=>,Exchange Reactions
EX_glc(e),glc_D[c]  <=> ,Exchange Reactions
EX_pyr(e),pyr[c]  <=> ,Exchange Reactions
EX_lac_L(e),lac_L[c]  <=> ,Exchange Reactions
EX_hdca(e),hdca[c]  <=> ,Exchange Reactions
EX_glyc(e),glyc[c] <=> ,Exchange Reactions
EX_tag_hs(e),tag_hs[c]  <=> ,Exchange Reactions
EX_h(e),h[c] <=>,Exchange Reactions
